Empresa_ID,Etiquetas_Empresas,Contactos_por_Empresa,Empresa,Descripción_empresa,Sector_EMILIO,Tipo,Tamaño,Url_LinkedIn,website,Localización_Empresa,Revisión,Extra,TagsCompHSK,Contactos1,Contactos2,Contactos3,CIF
2358969,"eCommerce,Web & Apps,Posible patrono",4,BYHOURS,"BYHOURS es la primera plataforma online en la que puedes reservar habitaciones de hotel y decidir la hora de check-in y el tiempo de duración de tu microestancia. BYHOURS ofrece packs de 3, 6 o 24 horas que se adaptan a tu horario, necesidades y estilo de vida.  Ahora es posible pagar únicamente por las horas disfrutadas. Nuestra filosofía es el fair price, nunca el low cost. Ofrecemos la misma calidad en servicio, con las principales cadenas hoteleras, permitiéndote realizar reservas por horas, y adaptándonos a tus necesidades.  ","Hostelería y turismo,Agregador y clasificados,Software,Ocio y entretenimiento",B2B,51-200,https://www.linkedin.com/company/byhours-com/,https://www.byhours.com/en.html,ES Barcelona Barcelona,2024-10-06 0:14,Empresa Agenda Telefonica 10-01-25,"BCN Exportación 1,CheckedByNewTool,Empresa Barcelona,Empresa de Barcelona 07-2024,Tarea_31-01-25","MarioHerrera Pérez - 36801039,MaríaVelasco Figueras - 112154488,GuillermoGaspart - 1148449",XavierTous Guri - 116350816,,B65729030
651653,Posible patrono,3,Servicetonic,"ServiceTonic,S.L una empresa Internacional de capital privado, que desarrolla y comercializa ServiceTonic, un software único de Help Desk, Automatización de Servicios y Gestión del Servicio TI.  Si estas buscando una solución potente y flexible para automatizar tus Servicios, ServiceTonic es tu solución.  ServiceTonic es 100% web-based  y se usa para automatizar el manejo de incidencias, Customer Service y Servicios IT (ITSM).","Software,Tecnología",B2B,11-50,https://www.linkedin.com/company/servicetonic/,https://www.servicetonic.com/es/,"ES Barcelona Cataluña / Catalunya Calle de Aragó, 383 6 08013",2024-10-26 22:30,Español,"ACTUALIZAR,Empresa de Barcelona 07-2024","ManuelMolero - 20312797,CarlosAyala - 170677729,JoseVargas - 261706245",,,B65201964
9293554,,1,Datamonplus,"-Organización española especializada en la mejora del sector textil mediante herramientas de software, con más de 30 años de experiencia y un centenar de clientes en México, Perú, Ecuador, Colombia, Argentina, Brasil, Portugal y España.  -Garantizamos y acompañamos todo el proceso tanto en la fase de la venta, en la instalación y parametrizaciones del producto, en el soporte permanente, y en la evolución del producto tanto funcional como tecnológicamente.",Software,B2B,11-50,https://www.linkedin.com/company/datamonplus/,http://www.datamonplus.com,,2022-07-07 20:40,,,JoanRico Burrel - 43738979,,,B65104358
769901,,7,Worldsensing,MundoSensing es un experto global de IOT PIONEER y de monitoreo industrial.,Tecnología,B2B,51-200,https://www.linkedin.com/company/worldsensing/,http://www.worldsensing.com,ES Barcelona Catalonia Viriat 47 10th floor 08014,2021-10-13 1:11,Español,"TASK_2_17-01-24_Blue,TASK:16-02 Parte2 Sin Evento 18 abril","MaiteGarcia - 61770154,AndreaBartoli - 455916297,ValentinaSalinas Saez - 54797353,Henri-PierreValdeolivas - 158393,JavierRodriguez Cortiñas - 1399600",EduardoCórdoba Peñalver - 338546162,MartinMendez - 26260690,B64902208
466585,"Posible patrono,Agencia de Marketing y Publicidad",1,Emailing Network,"En Emailing Network creemos que el Email Marketing es un canal de comunicación digital transaccional altamente efectivo, con amplio uso y alcance. Nuestra filosofía es encontrar el contenido adecuado, entregárselo al usuario adecuado en el contexto adecuado y en el momento adecuado para él.",Software,B2B,11-50,https://www.linkedin.com/company/reworld-media-spain/,www.emailingnetwork.com,ES Barcelona Catalonia,2024-11-28 2:17,Sponsor Hoja Negocio 09-08-2024,"Agencia de Marketing y Publicidad,Empresa Barcelona,Empresa de Barcelona 07-2024",DanielDC - 245076415,,,B64649957
97166,Posible patrono,5,SEIDOR Opentrends,"En SEIDOR ayudamos a impulsar la transformación y la competitividad de nuestros clientes a través de la tecnología y la innovación, poniendo foco siempre en el valor de lo humano y comprometidos con el talento y el desarrollo sostenible.   Somos una organización diversa e inclusiva que creemos en la igualdad de oportunidades, y contamos ya con más de 9.000 profesionales, en 45 países de Europa, América Latina, Estados Unidos, Oriente Medio, África y Asia,    Aquí podrás desarrollarte y crecer profesional y personalmente desde el primer día, con el apoyo de un gran equipo con valores humanos compartidos.   Realizamos proyectos con impacto positivo a nivel nacional e internacional en clientes de todos los sectores y trabajamos de la mano de los mejores líderes tecnológicos (como SAP, Microsoft, Salesforce, IBM, Google, AWS, Cisco, Adobe), siendo una de las compañías más reconocidas y premiadas por nuestros partners.   Estamos comprometidos con la sostenibilidad, promovemos criterios ASG (Ambientales, Sociales y de Gobierno) para conseguir alcanzar un desarrollo sostenible y hemos reducido y compensado nuestra huella de carbono, convirtiéndonos en una empresa net-zero.    En SEIDOR creemos que, para hacer frente a los desafíos del mundo digital y a los nuevos retos que se plantean, debemos contar con los mejores aliados, las tecnologías líderes del mercado, y por encima de ello, con las mejores personas. ¿Te apuntas a humanizar la tecnología?   Síguenos en nuestros perfiles de redes sociales:     Instagram: https://www.instagram.com/seidor.official/ X: https://twitter.com/seidor YouTube: https://www.youtube.com/@SEIDOR.official Spotify: https://open.spotify.com/show/2hGvp9af7kDtQfc40whZnD?si=9d3d2f9c9e3d44b5","Servicios medioambientales,Tecnología,Ocio y entretenimiento",B2B,201-500,https://www.linkedin.com/company/opentrends/,http://www.opentrends.net,"ES Barcelona Barcelona Carrer de Veneçuela 105, 4 08019",2024-11-28 13:13,Español,"LZ: medioeComm,LZ: Verificado,Empresa Barcelona,Empresa de Barcelona 07-2024","CarlosPuga - 9702279,XaviCampodarbe - 31188493,CarlosNarciso Millán - 468477408,AntonioRoca Román - 5286303",JordiNegrete - 10032122,,B63446470
1562376,,3,Ingens Networks | Servicios gestionados,"En Ingens Networks llevamos más de 20 años trabajando con empresas como la tuya, la experiencia nos ha demostrado que la forma más óptima de hacer crecer tu empresa, es que tu te dediques a lo que mejor sabes hacer, y no pierdas foco en temas que no son Core de tu negocio. Aquí es donde entramos nosotros, especialistas en crear un entorno tecnológico adaptado a tus necesidades, que es capaz de crecer contigo y estar siempre disponible.",Software,B2B,11-50,https://www.linkedin.com/company/ingens-networks-sl/,http://www.ingens-networks.com,"ES Hospitalet de Llobregat Barcelona Ciutat de la Justícia - Edifici D Avd. Carrilet, 3, 5C",2024-06-14 19:33,Empresa Agenda Telefonica 10-01-25,Empresa de Barcelona 07-2024,MaximoDominguez - 63504698,MaximoDominguez - 63504698,MaximoDominguez - 63504698,B63386684
205310,,3,KEAPPS,"Somos una empresa de delivery services de IT. Trabajamos de la mano de nuestros clientes, integrándonos en sus equipos y entendiendo y participando en todos los procesos de forma cercana, resolutiva e innovadora.",Tecnología,B2B,201-500,https://www.linkedin.com/company/keapps/,http://www.keapps.com,"ES Madrid Comunidad de Madrid Calle Gran Vía, 6 28004",2024-06-17 4:09,Español,TASK:16-02 Parte2 Sin Evento 18 abril,"LeopoldoBrito Dominguez - 19982285,DanielMarí - 5875920",DavidGarcia - 86728131,,B63065494
893277,,2,Profile Software Services,"Contamos con la tecnología, el talento y la experiencia para ayudarte a innovar y crear productos digitales alineados con la visión y la estrategia de tu negocio.  Más de 140 personas forman Profile: un equipo de profesionales especialistas en arquitectura de software, desarrollo web y apps móviles, apificación y gestión de APIs, Cloud Computing, sistemas y y UX.   Somos partner de Red Hat, MongoDB, IBM y Microsoft.",Software,B2B,51-200,https://www.linkedin.com/company/profile-software-services/,https://profile.es/,"ES Madrid Comunidad de Madrid Calle Castelló, 23 4º derecha 28001",2024-06-17 20:49,Español,EMP: Contactos de Madrid,"AuroraCorniel - 84446189,EduardoSambade - 191762794",,,B62521828
2414685,,2,Servicios de Internet Javajan,"Javajan es una empresa especializada en las nuevas tecnologías con una gran experiencia creando, programando y diseñando páginas web y aplicaciones móviles, así como en el marketing online y SEO. Recientemente, estamos integrando en nuestros proyectos la Inteligencia Artificial, utilizando APIs de GhatGPT - OpenAI.  Trabajamos en proyectos que requieren elevados conocimientos técnicos, con profesionalidad y capacidad para dar respuestas personalizadas, rápidas y flexibles en cada caso.",Software,B2B,11-50,https://www.linkedin.com/company/servicios-internet-javajan/,https://javajan.es,ES Manlleu  Pl. Albers 16-17 3B,2024-06-15 1:14,Empresa Agenda Telefonica 10-01-25,,ManelFreire - 91500411,JanBover - 149199136,,B61950127
1127356,Posible patrono,5,"Voxel, an Amadeus company","Voxel desarrolla soluciones de digitalización para la cadena de valor: facturas electrónicas y flujos de aprobación, pagos electrónicos, gestión de proveedores, pedidos y albaranes electrónicos, gestión de gastos y conexión con las administraciones públicas a través de su plataforma Bavel.  Bavel Pay es el gestor de pagos B2B, Bavel Billing es la solución líder en facturación electrónica y Bavel Procurement digitaliza toda la cadena de suministro y automatiza todos los procesos relacionados.   La plataforma Bavel está formada por más de 50.000 hoteles, más de 1.000 turoperadores y empresas de viajes, más de 1.200 proveedores de alimentación y bebidas y de bienes y mantenimiento, y más de 3.000 restaurantes y franquicias. Bavel está presente en 100 países diferentes y gestiona más de 90 millones de facturas electrónicas al año.  Fundada en 1998 en Barcelona, Voxel cuenta con 25 años de experiencia en el desarrollo de soluciones tecnológicas, ayudando a clientes del sector turístico a digitalizar el 100% de sus procesos de facturación. Hemos crecido e innovado para seguir aportando valor en los circuitos de compras, facturación y pagos a todo tipo de empresas, con un fuerte compromiso con la eficiencia, la mejora de procesos y la innovación.   Pero lo mejor es que, al mismo tiempo, ¡nos divertimos!   Somos #PeopleFreaks porque nos encanta crear un gran ambiente, lo que hacemos y nuestro equipo súper internacional.   Somos #ChallengeManiacs porque nos encanta estar al día de las últimas tecnologías e invertir mucho en I+D.   Somos #ChangeLovers porque siempre buscamos desarrollar nuevas líneas de negocio, nos centramos en la formación y en el desarrollo profesional de todos nuestros equipos.  ¡Y... somos #FUNtasticTeamPlayers porque nos divertimos trabajando con grandes compañeros!","Software,Hostelería y turismo,Tecnología,Servicios financieros",B2B,51-200,https://www.linkedin.com/company/voxelgroup-net/,http://www.voxelgroup.net,ES Barcelona Barcelona,2024-10-26 8:44,COMPANY_2_AIRTABLE2024-10-27,"Actualizado,Empresa de Barcelona 07-2024","DavidLópez Sánchez - 260678205,ManelIbáñez - 47920910,ServandoDomínguez Martín - 4650426,XavierVenteo - 29948454",JordiGarrido i Pavia - 5398070,,B61741898
131168,"Incompatible SiteGround,Posible patrono",4,Omega Peripherals,"TI Systems Integrator Company especializada en sistemas de almacenamiento de TI, recuperación de desastres de respaldo y virtualización del servidor. Proveedor de servicios administrados en áreas de almacenamiento, copia de seguridad y virtualización La compañía tiene oficinas en Madrid, Bilbao y Barcelona, ​​y opera básicamente en España. Resell e integramos el sistema de los supliers líderes y nuestros técnicos tiene las principales certificaciones requeridas.","Software,Hosting",B2B,51-200,https://www.linkedin.com/company/omega-peripherals/,http://www.omega-peripherals.com,ES Barcelona Barcelona travessera de les Corts 55 08028,2024-06-17 2:22,Español,"EMP: Contactos de Madrid,Empresa_posible_patrono_NO_hoja_negocios_nov_23,Empresa_Posible_Patrono_Nov_23_2_Contactos,Empresa eshow MAD 2024","JaimeLópez-Brea  Pozo - 155204716,AntoniaAlmela Torres - 92875212,JaumeMárquez - 56950680,GabrielGonzález Vargas - 63185595",,,B60343076
10880108,eCommerce,1,My Magic Story,"¿Existe algo más mágico y maravilloso que la imaginación de un niño?   El mundo de los pequeños no tiene límites ni fronteras. Para los más pequeños todo es un juego lleno de imaginación y aventuras. A medida que envejecemos, a menudo nos olvidamos de cómo jugar. Es precisamente la idea de “poder ver la vida con la ilusión y sorpresa de un niño” la que nos animó a crear este maravilloso proyecto.","Cultura,Software",B2B,11-50,https://www.linkedin.com/company/mymagicstory/,http://www.mymagicstory.com,ES Barcelona Barcelona,2024-10-05 15:44,Checked / CheckAgain,"BCN Exportación 1,EMP:eComm11May FILTRO2,Empresa de Barcelona 07-2024",EnricMalràs - 107310204,,,B44865111
166292,,3,Tecsidel ITS,"La solución inteligente para sistemas de peaje, TI y logística. Fundada en 1979, Tecsidel se posiciona como un modelo nacional e internacional para su calidad e innovación. Tenemos más de 300 empleados y oficinas en España (Barcelona, ​​Madrid y Valladolid), Brasil, Argentina, Chile, México, Noruega e India. El desarrollo de Tecsidel se basa en tres elementos: presencia internacional, oferta especializada y centrado en resultados, y una base de clientes amplia y consolidada.",Tecnología,B2B,201-500,https://www.linkedin.com/company/tecsidel/,http://www.tecsidel.com,"ES Sant Cugat del Valles Catalonia Avenida del Alcalde Barnils, 72 2 bloque C",2023-02-27 12:45,,TASK:16-02 Parte2 Sin Evento 18 abril,"GonzaloFernández Álvarez - 123329939,MiguelMonzó Montes - 146878309",GonzaloFernández Álvarez - 123329939,,B09703141
69666189,eCommerce,1,Bleta,"Luchamos para eliminar la brecha digital que existe entre las nuevas tecnologías y la gente mayor. Hemos desarrollado una tablet adaptada a la gente mayor, fácil de usar e intuitiva, para mejorar su calidad de vida. Con Bleta, las personas mayores pueden comunicarse con los suyos, entretenerse y realizar entrenamiento cognitivo.","Electrónica y electrodomésticos,Tecnología",B2B,11-50,https://www.linkedin.com/company/bleta/,https://bleta.io,ES Barcelona Catalonia,2024-10-28 1:56,Español Agenda Telefonica 10-01-25,"Check_Again_VE-1 26-08-23,Empresa de Barcelona 07-2024",AdriàRoca Gervilla - 490330892,,,B06961601
10400468,Posible patrono,6,Connectif Artificial Intelligence,"Connectif es una plataforma de marketing automation que te permite modelar el comportamiento de tus usuarios en tiempo real, personalizar sus experiencias y crear buyers personas.   Controla el Customer Journey de forma global en todos los canales que utilices con una sola plataforma.  Bienvenido al omniCommerce, bienvenido a Connectif.",Software,B2B,51-200,https://www.linkedin.com/company/connectif-ai/,http://www.connectif.ai,ES Murcia Spain,2024-08-06 16:56,Empresa Agenda Telefonica 10-01-25,"EMP: Posible Patrono en Hoja Negocio Nov23,Sponsor Hoja Negocio 09-08-2024","DanielFuentes Lorente - 703953825,AndreasDi Palma - 21704195,ManuRodríguez Ros - 566042249,JavierAlonso - 76010501,JohannaVallier - 224776007,AugustoTavelli - 165228348",,,B05509641
2251697,,1,SACOEL,"Distribuidor oficial e independiente de componentes electrónicos y soluciones de suministro.  Activos, pasivos, electromecánicos, optoelectrónica, sensores, wireless y subsistemas.",Tecnología,B2B,11-50,https://www.linkedin.com/company/sacoel/,https://www.sacoel.com,,2022-07-22 9:01,,"Verificado_HSK_07-22,TASK:16-02 Parte2 Sin Evento 18 abril",OriolAlmirall - 17398603,,,A58147901
1289572,Posible patrono,1,QualitaHUB,"¡Bienvenidx a la revolución digital!   QualitaHUB es mucho más que una consultoría tecnológica; convertimos tus desafíos en oportunidades y redefinimos el éxito juntos. Donde la innovación se encuentra con la eficiencia y la transformación es una experiencia única.  𝗥𝗲𝗶𝗻𝘃𝗲𝗻𝘁𝗮𝗺𝗼𝘀. 𝗢𝗽𝘁𝗶𝗺𝗶𝘇𝗮𝗺𝗼𝘀. 𝗧𝗿𝗮𝗻𝘀𝗳𝗼𝗿𝗺𝗮𝗺𝗼𝘀. Desarrollando valor 360º en torno a las personas con tecnologías y soluciones propias, como: Oracle JD Edwards, Microsoft, Firma electrónica, Desarrollo web, Mejora de procesos, Outsourcing y Servicios de IT.  Queremos escucharte y dar la mejor respuesta a las necesidades que te puedan surgir. Nuestro enfoque está basado en una metodología probada: inspirar, guiar y co-crear soluciones innovadoras contigo. Ayudándote a simplificar los procesos rutinarios, y de poco valor añadido, que tienes en tu día a día.  Aquí comienza tu nueva aventura, ¿estás listx? ","Consultoría,Tecnología,Software",B2B,51-200,https://www.linkedin.com/company/qualitahub/,https://qualitahub.com/,"ES Sant Cugat del Valles Barcelona Av. Corts Catalanes, 9-11 08173",2024-10-26 22:31,Español,"Verificado_Lidia_06-2023,Empresa de Barcelona 07-2024",MargieCabanas - 11236900,,,
2207501,Posible patrono,6,Webimpacto,"En Webimpacto trabajamos para ser la mejor consultora estratégica de servicios de tecnología y marketing digital del mercado.  Alma máter de WIM Group. Desde 2009, nuestro año de creación, hemos crecido exponencialmente. Tenemos oficinas en Madrid, Barcelona, Hungría y Serbia.",Tecnología,B2B,51-200,https://www.linkedin.com/company/webimpacto-consulting-sl/,http://www.webimpacto.consulting,ES Móstoles Madrid C/ Plasencia 1-17 Nave 7,2024-06-14 15:19,Empresa Agenda Telefonica 10-01-25,"EMP: Contactos de Madrid,Empresa Contacto Sol Especial 31-03-23,Empresa Nivel 4,EMP: Posible Patrono en Hoja Negocio Nov23,TASK:16-02 Parte2 Sin Evento 18 abril,Empresa de Madrid 07-2024,Sponsor Hoja Negocio 09-08-2024","RicardEstrada Carreras - 400168469,FerranAbello - 25898422,PedroAlbaladejo Sánchez - 465991816,MireiaLeón - 175238720,ArnauTorné - 208108183",ElenaVallés - 145646873,,
42927407,Posible patrono,3,BeOneSec (Cybersecurity),"BeOneSec Cybersecurity Solutions prestamos servicios de ciberseguridad de alta especialización. Nuestro objetivo es fomentar la Ciber-Tranquilidad y Ciber-Resilencia.   Así, prestamos servicios de Red Team, Blue Team, Yellow Team y White Team, siendo principalmente reconocidos por la realización de ejercicios de Red Teaming bajo el marco TIBER-EU, nuestro servicio de Threat Intelligence, la implementación del ciclo de vida de desarrollo seguro basado en OWASP SAMM o nuestros servicios de diseño de estrategias de seguridad alineadas con el negocio.  Operamos principalmente en Europa y Latinoamérica en los sectores naval, TIC, industria, energía, banca/seguros, apuestas/juegos y administración pública.","Seguridad y Ciberseguridad,Telecomunicaciones,Aeronáutica aviación y naval,Servicios financieros,Tecnología,Agencias,Energía,Ocio y entretenimiento",B2B,11-50,https://www.linkedin.com/company/beonesec/,http://www.beonesec.com,ES Sevilla nan,2024-10-05 6:49,COMPANY_2_AIRTABLE2024-10-08,Verificado_Lidia_06-2023,"NachoAbad - 24192202,CarlosLora Calvo - 35565227",ManuelLosada Friend - 29178290,,
